날짜,시작,시작시간,종료,종료시간,장소,원인,피해면적(ha),SIG_KOR_NM,경도,위도,피해면적평균
2021-01-29,0:40:00,2021-01-29 0:40,4:00:00,2021-01-29 4:00,경남 합천 덕봉,담뱃불실화,0.1,경남 합천,128.1679306,35.56361667,21.828
2021-01-15,13:45:00,2021-01-15 13:45,15:17:00,2021-01-15 15:17,경남 양산 상삼,쓰레기소각,0.01,경남 양산,129.0394111,35.33192778,0.313824
2021-01-12,14:33:00,2021-01-12 14:33,17:00:00,2021-01-12 17:00,경남 사천 장산,기타,0.3,경남 사천,128.0667778,35.00028333,0.08
2021-01-03,19:42:00,2021-01-03 19:42,15:00:00,2021-01-03 15:00,경남 함양 남호,담뱃불실화,3,경남 함양,127.7274194,35.51746944,0.612157
2021-01-03,13:55:00,2021-01-03 13:55,20:00:00,2021-01-03 20:00,경남 산청 청현,입산자실화,0.05,경남 산청,127.8756194,35.41249167,0.393421
2020-12-14,15:40:00,2020-12-14 15:40,22:00:00,2020-12-14 22:00,경남 창녕 덕곡,건축물화재비화,0.51,경남 창녕,128.4945333,35.54153611,0.652
2020-11-14,15:16:00,2020-11-14 15:16,19:00:00,2020-11-14 19:00,경남 거창 당산,입산자실화,0.06,경남 거창,127.9116556,35.683625,0.115455
2020-11-09,16:37:00,2020-11-09 16:37,19:00:00,2020-11-09 19:00,경남 밀양 춘화,입산자실화,0.01,경남 밀양,128.7489444,35.50077778,28.37519
2020-10-20,16:55:00,2020-10-20 16:55,17:40:00,2020-10-20 17:40,경남 밀양 동산,입산자실화,0.01,경남 밀양,128.7489444,35.50077778,28.37519
2020-10-16,15:40:00,2020-10-16 15:40,17:30:00,2020-10-16 17:30,경남 통영 황,입산자실화,0.01,경남 통영,128.4352778,34.85125833,0.075455
2020-10-10,14:44:00,2020-10-10 14:44,17:00:00,2020-10-10 17:00,경남 사천 탑,쓰레기소각,0.06,경남 사천,128.0667778,35.00028333,0.08
2020-10-07,10:32:00,2020-10-07 10:32,13:45:00,2020-10-07 13:45,경남 밀양 춘화,입산자실화,0.1,경남 밀양,128.7489444,35.50077778,28.37519
2020-06-09,12:00:00,2020-06-09 12:00,22:00:00,2020-06-09 22:00,경남 양산 석산,기타,2,경남 양산,129.0394111,35.33192778,0.313824
